Files,Scanner Results
taligent-jdk.license,UnclassifiedLicense [N]; LicenseRef-scancode-taligent-jdk [Sc: 100%]
tanuki-community-sla-1.0.license,GPL-2.0-only [N][M: 81%]; MIT [N][M: 93%]; AGPL-1.0-only [M: 88%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-tanuki-community-sla-1.0 [Sc: 100%]
tanuki-community-sla-1.1.license,GPL-2.0-only [N][M: 81%]; MIT [N][M: 93%]; AGPL-1.0-only [M: 88%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-tanuki-community-sla-1.1 [Sc: 100%]
tanuki-community-sla-1.2.license,GPL-2.0-only [N][M: 81%]; MIT [N][M: 93%]; AGPL-1.0-only [M: 88%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-tanuki-community-sla-1.2 [Sc: 100%]
tanuki-community-sla-1.3.license,GPL-2.0-only [N][M: 83%]; MIT [N][M: 93%]; AGPL-1.0-only [M: 88%]; GPL-3.0-only [M: 89%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-tanuki-community-sla-1.3 [Sc: 100%]
tanuki-development.license,MIT [N][M: 93%]; Public-domain [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-tanuki-development [Sc: 100%]
tanuki-maintenance.license,UnclassifiedLicense [N]; LicenseRef-scancode-tanuki-maintenance [Sc: 100%]
tapr-ohl-1.0.license,GPL [N]; TAPR-OHL-1.0 [M: 100%][Sc: 100%]
tatu-ylonen.license,Freeware [N]; SSH-short [M: 100%][Sc: 100%]
tcg-spec-license-v1.license,BSD-style [N]; LicenseRef-scancode-proprietary-license [Sc: 99%]
tcl.license,TCL [N][M: 100%][Sc: 100%]
tcp-wrappers.license,BSD-style [N]; TCP-wrappers [M: 100%][Sc: 100%]
teamdev-services.license,No_license_found [N]; LicenseRef-scancode-teamdev-services [Sc: 100%]
tekhvc.license,Tektronix-style [N]; LicenseRef-scancode-tekhvc [Sc: 100%]
telerik-eula.license,Apache-2.0 [N]; CPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-telerik-eula [Sc: 100%]
tenable-nessus.license,Non-commercial [N]; LicenseRef-scancode-tenable-nessus [Sc: 100%]
term-readkey.license,Freeware [N]; TermReadKey [M: 100%]; LicenseRef-scancode-term-readkey [Sc: 100%]
tested-software.license,Freeware [N]; LicenseRef-scancode-tested-software [Sc: 100%]
tex-exception.license,GPL-3.0-only [N][Sc: 100%]; TeX-exception [N]; Texinfo-exception [M: 100%]; LicenseRef-scancode-tex-exception [Sc: 100%]
tex-live.license,GFDL [N]; LPPL [N]; LicenseRef-scancode-tex-live [Sc: 100%]
tfl.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-public-domain-disclaimer [Sc: 100%]; LicenseRef-scancode-tfl [Sc: 100%]
tgc-spec-license-v2.license,No_license_found [N]; LicenseRef-scancode-proprietary-license [Sc: 53%]
tgppl-1.0.license,Non-commercial [N]; OSL-3.0 [M: 90%]; LicenseRef-scancode-tgppl-1.0 [Sc: 100%]
the-stack-tos-2023-07.license,No_license_found [N][Sc]
things-i-made-public-license.license,MIT-possibility [N]; LicenseRef-scancode-things-i-made-public-license [Sc: 100%]
thomas-bandt.license,Non-commercial [N]; LicenseRef-scancode-thomas-bandt [Sc: 100%]
thor-pl.license,MPL [N]; TPL-1.0 [M: 100%]; LicenseRef-scancode-pftijah-1.1 [Sc: 82%]; LicenseRef-scancode-thor-pl [Sc: 100%]
threeparttable.license,No_license_found [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
ti-broadband-apps.license,UnclassifiedLicense [N]; LicenseRef-scancode-ti-broadband-apps [Sc: 100%]
ti-linux-firmware.license,No_license_found [N]; LicenseRef-scancode-ti-linux-firmware [Sc: 100%]
ti-restricted.license,No_license_found [N]; LicenseRef-scancode-ti-restricted [Sc: 100%]
tidy.license,W3C-style [N]; HTMLTIDY [M: 97%][Sc: 100%]
tiger-crypto.license,No_license_found [N]; LicenseRef-scancode-tiger-crypto [Sc: 100%]
tigra-calendar-3.2.license,No_license_found [N]; LicenseRef-scancode-tigra-calendar-3.2 [Sc: 100%]
tigra-calendar-4.0.license,MIT-0 [N][M: 93%]; LicenseRef-scancode-tigra-calendar-4.0 [Sc: 100%]
tim-janik-2003.license,No_license_found [N]; LicenseRef-scancode-tim-janik-2003 [Sc: 100%]
timestamp-picker.license,No_license_found [N]; LicenseRef-scancode-timestamp-picker [Sc: 100%]
tizen-sdk.license,Public-domain [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-tizen-sdk [Sc: 100%]
tmate.license,TMate [N][M: 98%][Sc: 100%]
toppers-educational.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
toppers-license.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
torque-1.1.license,BSD-style [N]; Dual-license [N]; GPL [N]; TORQUE-1.1 [M: 100%][Sc: 50%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-unknown [Sc: 100%]
tosl.license,GPL [N]; Sleepycat [N][Sc: 100%]; TOSL [N][M: 100%][Sc: 100%]; LicenseRef-scancode-other-copyleft [Sc: 80%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
tpdl.license,See-URL [N]; No_license_found [Sc]
tpl-1.0.license,CDDL [N]; MPL [N]; Terracotta [M: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-tpl-1.0 [Sc: 100%]
tpl-2.0.license,CDDL [N]; MPL-2.0-no-copyleft-exception [N][Sc: 92%]; Nokia [Sc: 57%]; CPAL-1.0 [Sc: 65%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; MPL-1.0 [Sc: 100%]; CDDL-1.0 [Sc: 100%]
trademark-notice.license,No_license_found [N][Sc]
trca-odl-1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-trca-odl-1.0 [Sc: 100%]
treeview-developer.license,UnclassifiedLicense [N]; LicenseRef-scancode-treeview-developer [Sc: 100%]
treeview-distributor.license,UnclassifiedLicense [N]; LicenseRef-scancode-treeview-distributor [Sc: 100%]
triptracker.license,No_license_found [N]; LicenseRef-scancode-triptracker [Sc: 100%]
trolltech-gpl-exception-1.0.license,AFL-2.1 [N]; Apache-2.0 [N]; Artistic-1.0 [N]; CPL-1.0 [N]; GPL-2.0-only [N]; LGPL [N]; MIT [N]; MPL [N]; PHP-3.0 [N]; Python-2.0 [N]; X11 [N]; ZPL-2.0 [N]; trolltech-exception [N]; Trolltech [M: 87%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-trolltech-gpl-exception-1.0 [Sc: 100%]
trolltech-gpl-exception-1.1.license,AFL-3.0 [N]; Apache-2.0 [N]; Artistic-1.0 [N]; GPL-2.0-only [N]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; Python-2.0 [N]; X11 [N]; ZPL-2.1 [N]; trolltech-exception [N]; Trolltech [M: 100%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-trolltech-gpl-exception-1.1 [Sc: 100%]
trolltech-gpl-exception-1.2.license,AFL-3.0 [N]; Apache-2.0 [N]; Artistic-1.0 [N]; CDDL-1.0 [N]; GPL-2.0-only [N]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; Python-2.0 [N]; X11 [N]; ZPL-2.1 [N]; Trolltech [M: 86%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-trolltech-gpl-exception-1.2 [Sc: 100%]
truecrypt-3.1.license,TrueCrypt-3.0 [N]; Zlib [M: 97%]; LicenseRef-scancode-truecrypt-3.1 [Sc: 100%]
trustonic-proprietary-2013.license,UnclassifiedLicense [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-commercial-license [Sc: 100%]
tsl-2018.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-tsl-2018 [Sc: 100%]
tsl-2020.license,Apache-2.0 [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-tsl-2020 [Sc: 100%]
tso-license.license,Freeware [N]; BSD-3-Clause [Sc: 80%]; LicenseRef-scancode-tso-license [Sc: 100%]
ttcl.license,See-URL [N]; LicenseRef-scancode-ttcl [Sc: 100%]
ttf2pt1.license,BSD-2-Clause [N][M: 79%]; LicenseRef-scancode-bsd-2-clause-plus-advertizing [Sc: 99%]; LicenseRef-scancode-other-permissive [Sc: 100%]
ttwl.license,No_license_found [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
ttyp0.license,MIT-style [N]; TTYP0 [M: 100%]; LicenseRef-scancode-ttyp0 [Sc: 100%]
tu-berlin-2.0.license,MIT-style [N]; TU-Berlin-2.0 [M: 85%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
tu-berlin.license,Freeware [N]; TU-Berlin-1.0 [M: 77%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
tumbolia.license,FSFAP [N][M: 76%]; LicenseRef-scancode-tumbolia [Sc: 100%]
twisted-snmp.license,BSD-3-Clause [N][M: 87%]; LicenseRef-scancode-twisted-snmp [Sc: 100%]
txl-10.5.license,UnclassifiedLicense [N]; LicenseRef-scancode-txl-10.5 [Sc: 100%]
u-boot-exception-2.0.license,GPL-2.0-or-later [N][Sc: 100%]; u-boot-exception-2.0 [Sc: 50%]; GPL-2.0-only [Sc: 100%]
ubc.license,No_license_found [N]; LicenseRef-scancode-ubc [Sc: 100%]
ubdl.license,GPL-2.0-or-later [N]; UBDL-exception [M: 100%]; GPL-1.0-or-later [Sc: 90%]; LicenseRef-scancode-ubdl [Sc: 100%]
ubuntu-font-1.0.license,ubuntu-font-1.0 [N]; LicenseRef-scancode-ubuntu-font-1.0 [Sc: 100%]
ucar.license,BSD-3-Clause [N][Sc: 81%]; UCAR [M: 94%]
ucl-1.0.license,Apache-2.0 [N]; UCL-1.0 [M: 99%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
ugui.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-other-permissive [Sc: 68%]
ulem.license,No_license_found [N][Sc]; ulem [M: 71%]
umich-merit.license,MIT-style [N]; LicenseRef-scancode-cmu-template [Sc: 55%]; LicenseRef-scancode-warranty-disclaimer [Sc: 60%]
unbuntu-font-1.0.license,No_license_found [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
unicode-data-software.license,Unicode [N]; LicenseRef-scancode-unicode [Sc: 100%]
unicode-dfs-2015.license,Unicode [N]; Unicode-DFS-2015 [M: 100%][Sc: 50%]; LicenseRef-scancode-unicode [Sc: 100%]
unicode-dfs-2016.license,Unicode [N]; Unicode-DFS-2016 [M: 99%][Sc: 50%]; LicenseRef-scancode-unicode [Sc: 100%]
unicode-icu-58.license,ICU [N][M: 97%][Sc: 100%]; BSD-3-Clause [N][Sc: 100%]; Unicode-TOU [N]; naist-2003 [N]; BSD-3-Clause-No-Military-License [M: 72%]; WebM [M: 96%]; BSD-2-Clause [M: 96%]; NAIST-2003 [M: 100%]; LicenseRef-scancode-unicode [Sc: 100%]; LicenseRef-scancode-unicode-icu-58 [Sc: 100%]
unicode-inc-license-agreement-data-files-and-software.license,Unicode [N]; Unicode-DFS-2016 [M: 91%][Sc: 98%]
unicode-license-v3.license,MIT-style [N]; LicenseRef-scancode-unicode [Sc: 90%]
unicode-mappings.license,Unicode [N]; LicenseRef-scancode-unicode-mappings [Sc: 99%]
unicode-tou.license,Unicode-TOU [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unicode [Sc: 100%]
unicode-v3.license,MIT-style [N]; LicenseRef-scancode-unicode [Sc: 86%]
unicode.license,Unicode [N]; Unicode-DFS-2015 [M: 91%]; LicenseRef-scancode-unicode [Sc: 99%]
universal-foss-exception-1.0.license,universal-foss-exception-1.0 [N][Sc: 66%]; Universal-FOSS-exception-1.0 [M: 100%]
unixcrypt.license,No_license_found [N]; UnixCrypt [M: 78%]; LicenseRef-scancode-other-permissive [Sc: 100%]
unknown-license-reference.license,See-file [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
unknown-spdx.license,No_license_found [N][Sc]
unknown.license,No_license_found [N][Sc]
unlicense.license,Unlicense [N][M: 100%][Sc: 99%]; MIT-style [N]; LicenseRef-scancode-public-domain [Sc: 70%]
unlimited-binary-linking.license,UnclassifiedLicense [N]; LicenseRef-scancode-unlimited-binary-linking [Sc: 100%]
unlimited-binary-use-exception.license,UnclassifiedLicense [N]; LicenseRef-scancode-unlimited-binary-linking [Sc: 100%]
unlimited-linking-exception-gpl.license,GPL [N]; LGPL [N]; linking-exception [N]; GCC-exception-2.0 [M: 90%]; GPL-1.0-or-later [Sc: 50%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-unlimited-link-exception-gpl [Sc: 100%]
unlimited-linking-exception-lgpl.license,LGPL-2.1-only [N][Sc: 100%]; linking-exception [N]; GCC-exception-2.0 [M: 87%]; GCC-exception-2.0-note [M: 100%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-unlimited-link-exception-lgpl [Sc: 94%]; LGPL-2.1-or-later [Sc: 94%]
unpbook.license,No_license_found [N]; LicenseRef-scancode-unpbook [Sc: 100%]
unpublished-source.license,UnclassifiedLicense [N]; LicenseRef-scancode-unpublished-source [Sc: 100%]
unrar-v3.license,unRAR restriction [N]; LicenseRef-scancode-unrar [Sc: 93%]
unrar.license,UnclassifiedLicense [N]; LicenseRef-scancode-unrar [Sc: 100%]
unsplash.license,See-URL [N]; LicenseRef-scancode-unsplash [Sc: 100%]
unstated.license,No_license_found [N][Sc]
uofu-rfpl.license,MPL-style [N]; LicenseRef-scancode-uofu-rfpl [Sc: 100%]
uoi-ncsa-php.license,BSD-style [N]; MIT-style [N]; NCSA [M: 94%][Sc: 100%]
uoi-ncsa.license,NCSA [N][M: 91%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
upl-1.0.license,MIT-style [N]; UPL-1.0 [M: 98%][Sc: 50%]
upl.license,MIT-style [N]; UPL-1.0 [M: 94%][Sc: 100%]
upx-exception-2.0-plus.license,GPL-3.0-only [N][Sc: 100%]; UPX-exception [N]; GPL-2.0-or-later [Sc: 50%]; LicenseRef-scancode-upx-exception-2.0-plus [Sc: 95%]; GPL-2.0-only [Sc: 100%]
urt-rle.license,Freeware [N]; URT-RLE [M: 100%]; LicenseRef-scancode-warranty-disclaimer [Sc: 100%]
us-govt-geotranform.license,Not-for-sale [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]
us-govt-public-domain.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-us-govt-public-domain [Sc: 100%]
us-govt-unlimited-rights.license,Govt-rights [N]; LicenseRef-scancode-us-govt-unlimited-rights [Sc: 100%]
usrobotics-permissive.license,UnclassifiedLicense [N]; LicenseRef-scancode-usrobotics-permissive [Sc: 100%]
utopia.license,Adobe [N]; LicenseRef-scancode-utopia [Sc: 100%]
vaadin-cvdl-4.0.license,See-file [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
vbaccelerator.license,No_license_found [N]; LicenseRef-scancode-vbaccelerator [Sc: 100%]
vcalendar.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-vcalendar [Sc: 100%]
vcvrack-exception-to-gpl-3.0.license,GPL-3.0-or-later [N]; AGPL-3.0-or-later [Sc: 97%]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ver2_eiffel-php.license,EFL [N]; EFL-2.0 [M: 90%][Sc: 96%]
verbatim-manual.license,GNU-Manpages [N]; Linux-man-pages-copyleft [M: 95%][Sc: 100%]
verisign.license,UnclassifiedLicense [N]; LicenseRef-scancode-verisign [Sc: 100%]
vhfpl-1.1.license,No_license_found [N]; LicenseRef-scancode-vhfpl-1.1 [Sc: 100%]
vic-metcalfe-pd.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-vic-metcalfe-pd [Sc: 100%]
vicomsoft-software.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-vicomsoft-software [Sc: 100%]
viewflow-agpl-3.0-exception.license,AGPL-3.0-only [N][Sc: 100%]; LicenseRef-scancode-viewflow-agpl-3.0-exception [Sc: 100%]
vim.license,Vim [N]; GPL-2.0-or-later [N]; VIM [M: 100%][Sc: 100%]
vince.license,MIT [N][Sc: 80%]; LicenseRef-scancode-unknown [Sc: 65%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
visual-idiot.license,No_license_found [N]; LicenseRef-scancode-visual-idiot [Sc: 100%]
visual-numerics.license,UnclassifiedLicense [N]; LicenseRef-scancode-visual-numerics [Sc: 100%]
vita-nuova-liberal.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-vita-nuova-liberal [Sc: 100%]
vitesse-prop.license,UnclassifiedLicense [N]; LicenseRef-scancode-vitesse-prop [Sc: 100%]
vixie-cron.license,Vixie-license [N]; LicenseRef-scancode-vixie-cron [Sc: 100%]
vnc-viewer-ios.license,Non-commercial [N]; LicenseRef-scancode-vnc-viewer-ios [Sc: 100%]
volatility-vsl-v1.0.license,CC-BY [N]; Public-domain [N]; LicenseRef-scancode-volatility-vsl-v1.0 [Sc: 100%]
vostrom.license,U-Wash-style [N]; VOSTROM [N][M: 99%][Sc: 100%]
vovidapl-php.license,VSL-1.0 [N][M: 98%][Sc: 98%]
vpl-1.1.license,UnclassifiedLicense [N]; MPL-1.1 [M: 89%]; CUA-OPL-1.0 [M: 92%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-vpl-1.1 [Sc: 100%]
vpl-1.2.license,UnclassifiedLicense [N]; MPL-1.1 [M: 90%]; CUA-OPL-1.0 [M: 93%]; LicenseRef-scancode-vpl-1.2 [Sc: 100%]
vs10x-code-map.license,UnclassifiedLicense [N]; LicenseRef-scancode-vs10x-code-map [Sc: 100%]
vsftpd-openssl-exception.license,GPL-2.0-only [N][Sc: 97%]; vsftpd-openssl-exception [M: 100%]; LicenseRef-scancode-generic-exception [Sc: 97%]
vsl-1.0.license,VSL-1.0 [N][M: 100%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-free-unknown [Sc: 100%]
vuforia-2013-07-29.license,AGPL [N]; CDDL [N]; LGPL [N]; MPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-vuforia-2013-07-29 [Sc: 100%]
vvvvvv-scl-1.0.license,CC-BY-NC-3.0 [N]; LicenseRef-scancode-other-permissive [Sc: 83%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
w3c-03-bsd-license.license,BSD-style [N]; W3C [N]; W3C-IP [N]; WebM [M: 89%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; BSD-3-Clause [Sc: 84%]
w3c-community-cla.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown [Sc: 99%]; LicenseRef-scancode-generic-cla [Sc: 100%]
w3c-docs-19990405.license,W3C-style [N]; LicenseRef-scancode-w3c-docs-19990405 [Sc: 100%]
w3c-docs-20021231.license,W3C-style [N]; LicenseRef-scancode-w3c-docs-20021231 [Sc: 100%]
w3c-documentation.license,W3C [N]; LicenseRef-scancode-w3c-documentation [Sc: 100%]
w3c-software-19980720.license,W3C-19980720 [N][M: 98%][Sc: 100%]
w3c-software-20021231.license,W3C [N][M: 98%][Sc: 100%]
w3c-software-2023.license,W3C-20150513 [N][Sc: 90%]
w3c-software-doc-20150513.license,W3C-20150513 [N][M: 98%][Sc: 100%]; W3C [Sc: 100%]
w3c-test-suite.license,W3C-style [N]; LicenseRef-scancode-w3c-test-suite [Sc: 100%]
w3c.license,W3C [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
w3m.license,Freeware [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
warranty-disclaimer.license,Microsoft-possibility [N]; No_license_found [Sc]
waterfall-feed-parser.license,MIT [N][M: 79%]; LicenseRef-scancode-waterfall-feed-parser [Sc: 100%]
westhawk.license,X11-style [N]; HPND-Pbmplus [M: 79%]; LicenseRef-scancode-westhawk [Sc: 100%]
whistle.license,BSD-style [N]; LicenseRef-scancode-whistle [Sc: 100%]
whitecat.license,BSD-3-Clause [N][M: 69%]; LicenseRef-scancode-whitecat [Sc: 100%]
whosonfirst-license.license,No_license_found [N][Sc]
wide-license.license,CMU-style [N]; LicenseRef-scancode-wide-license [Sc: 100%]
widget-workshop.license,No_license_found [N]; Widget-Workshop [M: 95%]; LicenseRef-scancode-other-permissive [Sc: 100%]
wifi-alliance.license,Non-commercial [N]; LicenseRef-scancode-wifi-alliance [Sc: 100%]
william-alexander.license,No_license_found [N]; LicenseRef-scancode-william-alexander [Sc: 100%]
wince-50-shared-source.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-wince-50-shared-source [Sc: 100%]
windriver-commercial.license,No_license_found [N]; LicenseRef-scancode-windriver-commercial [Sc: 100%]
wingo.license,BSD-style [N]; LicenseRef-scancode-wingo [Sc: 100%]
wink.license,No_license_found [N]; LicenseRef-scancode-wink [Sc: 100%]
winzip-eula.license,LGPL [N]; MIT [N]; LicenseRef-scancode-winzip-eula [Sc: 100%]
winzip-self-extractor.license,No_license_found [N]; LicenseRef-scancode-winzip-self-extractor [Sc: 100%]
wol.license,WOL [N]; LicenseRef-scancode-wol [Sc: 100%]
woodruff-2002.license,MIT [N][M: 95%]; LicenseRef-scancode-woodruff-2002 [Sc: 100%]
wordnet.license,MIT-style [N]; Princeton-style [N]; WordNet-3.0 [M: 97%]; LicenseRef-scancode-wordnet [Sc: 100%]
wrox-download.license,No_license_found [N]; LicenseRef-scancode-wrox-download [Sc: 100%]
wrox.license,CCPL [N]; LicenseRef-scancode-wrox [Sc: 100%]
ws-addressing-spec.license,Java-Multi-Corp [N]; LicenseRef-scancode-ws-addressing-spec [Sc: 100%]
ws-policy-specification.license,Java-WSDL-Policy [N]; LicenseRef-scancode-ws-policy-specification [Sc: 100%]
ws-trust-specification.license,Java-Multi-Corp [N]; LicenseRef-scancode-ws-trust-specification [Sc: 100%]
wsuipa.license,GPL [N]; Wsuipa [N][M: 100%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
wtfnmfpl-1.0.license,WTFPL [N][M: 69%][Sc: 100%]; LicenseRef-scancode-wtfnmfpl-1.0 [Sc: 100%]
wtfpl-1.0.license,WTFPL [N][Sc: 50%]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-wtfpl-1.0 [Sc: 100%]
wtfpl-2.0.license,WTFPL [N][M: 90%][Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]
wthpl-1.0.license,Public-domain [N]; WTFPL [N][Sc: 50%]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-wthpl-1.0 [Sc: 100%]
wxwidgets.license,GPL-possibility [N]; LGPL-possibility [N]; LicenseRef-scancode-wxwidgets [Sc: 100%]
wxwindows-exception-3.1.license,GPL-2.0-only [N][Sc: 100%]; LGPL-2.0-or-later [N][Sc: 82%]; WxWindows-exception-3.1 [N][M: 100%][Sc: 50%]; GPL-2.0-or-later [Sc: 63%]; LicenseRef-scancode-free-unknown [Sc: 100%]
wxwindows-php.license,GPL [N]; LGPL-2.0-or-later [N][Sc: 100%]; WxWindows [N]; WXwindows [M: 98%]; WxWindows-exception-3.1 [Sc: 100%]
wxwindows-r-3.0.license,GPL [N]; LGPL-2.0-or-later [N]; WXwindows [M: 77%]; LicenseRef-scancode-wxwidgets [Sc: 100%]; LicenseRef-scancode-wxwindows-r-3.0 [Sc: 100%]
wxwindows-u-3.0.license,No_license_found [N]; LicenseRef-scancode-wxwidgets [Sc: 100%]; LicenseRef-scancode-wxwindows-u-3.0 [Sc: 100%]
wxwindows.license,GPL [N]; LGPL-2.0-or-later [N][Sc: 100%]; WxWindows-exception-3.1 [N][M: 100%][Sc: 50%]; LicenseRef-scancode-wxwidgets [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
x11-acer.license,ISC [N]; X11 [N]; 0BSD [M: 79%]; LicenseRef-scancode-x11-acer [Sc: 100%]
x11-adobe-dec.license,HPND-sell-variant [N]; LicenseRef-scancode-x11-adobe-dec [Sc: 100%]
x11-adobe.license,MIT-style [N]; LicenseRef-scancode-xfree86-1.0 [Sc: 100%]; LicenseRef-scancode-x11-adobe [Sc: 100%]
x11-bitstream.license,MIT-CMU-style [N]; X11 [N]; HPND [M: 86%]; Bitstream-Charter [M: 100%]; LicenseRef-scancode-x11-bitstream [Sc: 100%]
